Country,Rank,Account,Title,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped date
All,127,deepikapadukone,Deepika Padukone,https://www.instagram.com/deepikapadukone/,Cinema|Actors/actresses,64200000,India,394500,516300,1/1/2024
All,128,championsleague,UEFA Champions League,https://www.instagram.com/championsleague/,Sports with a ball,87900000,Brazil,277700,376000,1/1/2024
All,129,sabrinacarpenter,Sabrina Carpenter,https://www.instagram.com/sabrinacarpenter/,Music,26600000,Brazil,1000000,1200000,1/1/2024
All,130,juliette,Juliette,https://www.instagram.com/juliette/,Cinema|Actors/actresses,33400000,Brazil,629400,996000,1/1/2024
All,131,alluarjunonline,Allu Arjun,https://www.instagram.com/alluarjunonline/,Cinema|Actors/actresses,16400000,India,1600000,2000000,1/1/2024
All,132,maluma,MALUMA,https://www.instagram.com/maluma/,Music,60900000,Italy,341400,529300,1/1/2024
All,133,hazardeden_10,Eden Hazard,https://www.instagram.com/hazardeden_10/,Sports with a ball,26900000,Spain,729500,1200000,1/1/2024
All,134,hrithikroshan,Hrithik Roshan,https://www.instagram.com/hrithikroshan/,Cinema|Actors/actresses,41300000,India,601800,761600,1/1/2024
All,135,luisitocomunica,Luisillo El Pillo,https://www.instagram.com/luisitocomunica/,Humor|Fun|Happiness|Clothing|Outfits,31000000,Mexico,734700,970700,1/1/2024
All,136,jacksonwang852g7,Jackson Wang 王嘉爾 왕잭슨,https://www.instagram.com/jacksonwang852g7/,Music,27000000,China,934200,1100000,1/1/2024
All,137,madisonbeer,Madison Beer,https://www.instagram.com/madisonbeer/,Music,30100000,United States,665500,992500,1/1/2024
All,138,kunaguero,Sergio Leonel Agüero,https://www.instagram.com/kunaguero/,Sports with a ball,21800000,Argentina,777700,1300000,1/1/2024
All,139,elrubiuswtf,el rubius WTF,https://www.instagram.com/elrubiuswtf/,Computers|Gadgets,16000000,Mexico,1600000,1800000,1/1/2024
All,140,mrbeast,MrBeast,https://www.instagram.com/mrbeast/,Shows|Humor|Fun|Happiness,17400000,United States,1300000,1700000,1/1/2024
All,141,rohitsharma45,Rohit Sharma,https://www.instagram.com/rohitsharma45/,Sports with a ball|Lifestyle,22500000,India,1100000,1300000,1/1/2024
All,142,madelyncline,Maddie,https://www.instagram.com/madelyncline/,,12100000,United States,1700000,2400000,1/1/2024
All,143,stephencurry30,Wardell Curry,https://www.instagram.com/stephencurry30/,Sports with a ball|Family,39800000,United States,542300,725500,1/1/2024
All,144,_jeongjaehyun,Jaehyun,https://www.instagram.com/_jeongjaehyun/,,10400000,Indonesia,2200000,2800000,1/1/2024
All,145,jamesrodriguez10,James Rodríguez,https://www.instagram.com/jamesrodriguez10/,Sports with a ball,48600000,Colombia,388400,591100,1/1/2024
All,146,433,433,https://www.instagram.com/433/,Sports with a ball,46800000,Spain,366400,609700,1/1/2024
All,147,eminem,Marshall Mathers,https://www.instagram.com/eminem/,Cinema|Actors/actresses|Music,33900000,Iran,648400,837800,1/1/2024
All,148,phil.coutinho,Philippe Coutinho,https://www.instagram.com/phil.coutinho/,Sports with a ball,24100000,Brazil,704100,1100000,1/1/2024
All,149,noahschnapp,Noah Schnapp®,https://www.instagram.com/noahschnapp/,Cinema|Actors/actresses,19900000,Brazil,1100000,1400000,1/1/2024
All,150,rosalia.vt,LA ROSALÍA,https://www.instagram.com/rosalia.vt/,Music,18600000,Spain,1100000,1500000,1/1/2024
All,151,lewishamilton,Lewis Hamilton,https://www.instagram.com/lewishamilton/,Racing|Sports,26900000,Brazil,707800,1000000,1/1/2024
All,152,dixiedamelio,dixie,https://www.instagram.com/dixiedamelio/,Music|Clothing|Outfits,25300000,United States,732000,1100000,1/1/2024
All,153,anuel,“REAL HASTA LA MUERTE”,https://www.instagram.com/anuel/,Music,26800000,Spain,660300,1000000,1/1/2024
All,154,riaricis1795,RICIS,https://www.instagram.com/riaricis1795/,Lifestyle,29800000,Indonesia,726900,890800,1/1/2024
All,155,emmachamberlain,emma chamberlain,https://www.instagram.com/emmachamberlain/,Lifestyle|Shows,15100000,United States,1100000,1700000,1/1/2024
All,156,thenotoriousmma,Conor McGregor Official,https://www.instagram.com/thenotoriousmma/,Fitness|Gym,44000000,United States,398700,579600,1/1/2024
All,157,kartikaaryan,KARTIK AARYAN,https://www.instagram.com/kartikaaryan/,Cinema|Actors/actresses,23400000,India,860600,1100000,1/1/2024
All,158,brentrivera,Brent Rivera,https://www.instagram.com/brentrivera/,Music|Cinema|Actors/actresses,22100000,United States,865300,1100000,1/1/2024
All,159,kritisanon,Kriti,https://www.instagram.com/kritisanon/,Modeling,45900000,India,457600,534300,1/1/2024
All,160,shahidkapoor,Shahid Kapoor,https://www.instagram.com/shahidkapoor/,Cinema|Actors/actresses,33100000,India,644200,731200,1/1/2024
All,161,dishapatani,disha patani (paatni) 🦋,https://www.instagram.com/dishapatani/,Cinema|Actors/actresses|Lifestyle,48500000,India,402800,495900,1/1/2024
All,162,marcelotwelve,Marcelo Vieira,https://www.instagram.com/marcelotwelve/,Sports with a ball,51900000,Spain,308000,463000,1/1/2024
All,163,nina,Nina Dobrev,https://www.instagram.com/nina/,Cinema|Actors/actresses,25200000,Brazil,653400,937800,1/1/2024
All,164,manchesterunited,Manchester United,https://www.instagram.com/manchesterunited/,Sports with a ball,54700000,United Kingdom,270400,431000,1/1/2024
All,165,cznburak,Burak Özdemir,https://www.instagram.com/cznburak/,Food|Cooking,31200000,Turkey,556200,755000,1/1/2024
All,166,thedeverakonda,Vijay Deverakonda,https://www.instagram.com/thedeverakonda/,Cinema|Actors/actresses,14600000,India,1300000,1600000,1/1/2024
All,167,brunamarquezine,Bruna Marquezine,https://www.instagram.com/brunamarquezine/,Cinema|Actors/actresses,42000000,Brazil,320000,552600,1/1/2024
All,168,natgeo,National Geographic,https://www.instagram.com/natgeo/,Nature  landscapes|Science|Photography,206600000,United States,85700,111800,1/1/2024
All,169,nusr_et,Nusr_et#Saltbae,https://www.instagram.com/nusr_et/,Food|Cooking,42200000,Turkey,371300,546600,1/1/2024
All,170,taehyung.bighitentertainment,TAEHYUNG (김태형) Updates,https://www.instagram.com/taehyung.bighitentertainment/,Management|Marketing|Music,10600000,Indonesia,2100000,2200000,1/1/2024
All,171,haileesteinfeld,hailee steinfeld,https://www.instagram.com/haileesteinfeld/,Cinema|Actors/actresses,17800000,United States,1000000,1300000,1/1/2024
All,172,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,https://www.instagram.com/skuukzky/,Clothing|Outfits|Music,17300000,Indonesia,1100000,1300000,1/1/2024
All,173,garethbale11,Gareth Bale,https://www.instagram.com/garethbale11/,Sports with a ball,46000000,Spain,314300,492800,1/1/2024
All,174,sadiesink_,Sadie Sink,https://www.instagram.com/sadiesink_/,Modeling|Lifestyle|Beauty,15200000,Brazil,1000000,1500000,1/1/2024
All,175,domelipa,domelipa,https://www.instagram.com/domelipa/,Lifestyle,16500000,Mexico,1100000,1300000,1/1/2024
All,176,daviddobrik,DAVID DOBRIK,https://www.instagram.com/daviddobrik/,Humor|Fun|Happiness|Cinema|Actors/actresses,12500000,United States,1200000,1800000,1/1/2024
All,177,samantharuthprabhuoffl,Samantha,https://www.instagram.com/samantharuthprabhuoffl/,Beauty|Modeling|Cinema|Actors/actresses,21600000,India,854800,1000000,1/1/2024
All,178,feliciathegoat,"Tyler, The Creator",https://www.instagram.com/feliciathegoat/,Music,12000000,United States,1100000,1800000,1/1/2024
All,179,anitta,Anitta 🎤,https://www.instagram.com/anitta/,Music,59100000,Brazil,195000,369300,1/1/2024
All,180,miguel.g.herran,Miguel Herrán,https://www.instagram.com/miguel.g.herran/,Cinema|Actors/actresses,14400000,Brazil,994500,1500000,1/1/2024
All,181,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,https://www.instagram.com/carryminati/,Computers|Gadgets|Machinery|Technologies,14500000,India,1300000,1500000,1/1/2024
All,182,jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,https://www.instagram.com/jungkook_bighitentertainment/,Management|Marketing|Music,10200000,Brazil,1900000,2100000,1/1/2024
All,183,loganpaul,Logan Paul,https://www.instagram.com/loganpaul/,Fitness|Gym,22200000,United States,719300,960500,1/1/2024
All,184,johnnydepp,Johnny Depp,https://www.instagram.com/johnnydepp/,Cinema|Actors/actresses,11700000,India,1400000,1800000,1/1/2024
All,185,phs1116,박형식 / PARKHYUNGSIK,https://www.instagram.com/phs1116/,Business|Careers,9200000,Indonesia,1900000,2300000,1/1/2024
All,186,xxxibgdrgn,권지용(權志龍),https://www.instagram.com/xxxibgdrgn/,Photography|Fashion,20400000,Indonesia,811200,1000000,1/1/2024
All,187,theestallion,Megan Thee Stallion,https://www.instagram.com/theestallion/,Music,27500000,United States,437700,764300,1/1/2024
All,188,kiaraaliaadvani,KIARA,https://www.instagram.com/kiaraaliaadvani/,Cinema|Actors/actresses,21700000,India,838700,952300,1/1/2024
All,189,paulolondra,Paulo londra,https://www.instagram.com/paulolondra/,Music,11400000,Argentina,1200000,1800000,1/1/2024
All,190,evaluna,Evaluna Montaner de Echeverry,https://www.instagram.com/evaluna/,Family|Music,19100000,Argentina,780300,1100000,1/1/2024
All,191,leedongwook_official,이동욱 (Official_Instagram),https://www.instagram.com/leedongwook_official/,Cinema|Actors/actresses,13600000,Indonesia,1100000,1500000,1/1/2024
All,192,sommerray,Sommer Ray,https://www.instagram.com/sommerray/,Modeling,26800000,United States,487600,763900,1/1/2024
All,193,juandediospantoja,JD PANTOJA 🇲🇽,https://www.instagram.com/juandediospantoja/,Music|Art|Artists|Cinema|Actors/actresses,21200000,Mexico,848200,968200,1/1/2024
All,194,tyga,T-Raww,https://www.instagram.com/tyga/,Music,30900000,United States,442600,660200,1/1/2024
All,195,erling.haaland,Erling Braut Haaland,https://www.instagram.com/erling.haaland/,,14500000,Brazil,936900,1400000,1/1/2024
All,196,jbalvin,J Balvin,https://www.instagram.com/jbalvin/,Music,51400000,Mexico,298300,389800,1/1/2024
All,197,jacquelinef143,Jacqueline Fernandez,https://www.instagram.com/jacquelinef143/,Cinema|Actors/actresses,57900000,India,281000,341400,1/1/2024
All,198,annehathaway,Anne Hathaway,https://www.instagram.com/annehathaway/,Cinema|Actors/actresses,22000000,United States,674600,889500,1/1/2024
All,199,hardikpandya93,Hardik Himanshu Pandya,https://www.instagram.com/hardikpandya93/,Sports with a ball,20200000,India,771700,967600,1/1/2024
